+----------------------------+----------------------+---------+----------+
| FULL_NAME                  | street               | dlugosc | poczatek |
+----------------------------+----------------------+---------+----------+
| Jan Kowalski               | ul. Dluga 12         |      12 | ul. D    |
| Jan Kowalski               | ul. Miodowa 8        |      13 | ul. M    |
| Tech Solutions Sp. z o.o.  | ul. Zielona 5        |      13 | ul. Z    |
| Anna Nowak                 | ul. Krotka 10        |      13 | ul. K    |
| Food Market SA             | ul. Wesola 22        |      13 | ul. W    |
| Piotr Wisniewski           | al. Jana Pawla II 20 |      20 | al. J    |
| AutoMax Sp. z o.o.         | ul. Mickiewicza 7    |      17 | ul. M    |
| Karolina Kaczmarek         | ul. Ogrodowa 15      |      15 | ul. O    |
| Meblex SA                  | ul. Spacerowa 3      |      15 | ul. S    |
| Michal Pawlak              | ul. Dworcowa 9       |      14 | ul. D    |
| Marek Wojcik               | ul. Polna 14         |      12 | ul. P    |
| Iwona Dudek                | ul. Cicha 3          |      11 | ul. C    |
| Fresh Food Sp. z o.o.      | ul. Wiosenna 22      |      15 | ul. W    |
| TechWorld SA               | ul. Sloneczna 7      |      15 | ul. S    |
| Rafal Zajac                | ul. Rozana 11        |      13 | ul. R    |
| HomeDecor Sp. z o.o.       | ul. Sadowa 8         |      12 | ul. S    |
| Magdalena Baran            | ul. Lesna 5          |      11 | ul. L    |
| AutoParts SA               | ul. Jesionowa 20     |      16 | ul. J    |
| Kamil Wilk                 | ul. Brzozowa 18      |      15 | ul. B    |
| Eco Solutions Sp. z o.o.   | ul. Piekna 6         |      12 | ul. P    |
| Paulina Malecka            | ul. Lipowa 9         |      12 | ul. L    |
| FurniCo SA                 | ul. Kwiatowa 4       |      14 | ul. K    |
| Jakub Sikora               | ul. Krotka 12        |      13 | ul. K    |
| SportPro Sp. z o.o.        | ul. Orla 14          |      11 | ul. O    |
| Anna Nowakowska            | ul. Wierzbowa 17     |      16 | ul. W    |
| GardenPlus SA              | ul. Debowa 23        |      13 | ul. D    |
| Marta Duda                 | ul. Sosnowa 29       |      14 | ul. S    |
| Office Supplies Sp. z o.o. | ul. Grabowa 10       |      14 | ul. G    |
| Tomasz Kaminski            | ul. Modrzewiowa 15   |      18 | ul. M    |
| CleanHome SA               | ul. Wolska 19        |      13 | ul. W    |
| Emilia Sadowska            | ul. Jagodowa 11      |      15 | ul. J    |
| Market Super S.A.          | ul. Malinowa 5       |      14 | ul. M    |
| Zenon Rutkowski            | ul. Winna 17         |      12 | ul. W    |
| DigitalHouse Sp. z o.o.    | ul. Brzoskwiniowa 2  |      19 | ul. B    |
| Julia Olszewska            | ul. Wisniowa 9       |      14 | ul. W    |
| TechPlanet S.A.            | ul. Poziomkowa 12    |      17 | ul. P    |
| Patryk Domanski            | ul. Sliwkowa 21      |      15 | ul. S    |
| BestJobs Sp. z o.o.        | ul. Orzechowa 7      |      15 | ul. O    |
| Monika Krysztofiak         | ul. Morelowa 33      |      15 | ul. M    |
| EcoDrive S.A.              | ul. Lososiowa 15     |      16 | ul. L    |
| Marek Chrzanowski          | ul. Jastrzebia 22    |      17 | ul. J    |
| FoodWay S.A.               | ul. Slowikowa 29     |      16 | ul. S    |
| Natalia Gorska             | ul. Zurawia 4        |      13 | ul. Z    |
| GardenPro Sp. z o.o.       | ul. Sepia 16         |      12 | ul. S    |
| Pawel Kaczmarek            | ul. Orla 8           |      10 | ul. O    |
| PaperGroup S.A.            | ul. Wilcza 41        |      13 | ul. W    |
| Joanna Czarnecka           | ul. Niedzwiedzia 18  |      19 | ul. N    |
| Fitmarket Sp. z o.o.       | ul. Lisiarnia 27     |      16 | ul. L    |
| Tomasz Wojcik              | ul. Zajaca 13        |      13 | ul. Z    |
| WebCom S.A.                | ul. Dzikiej Rozy 5   |      18 | ul. D    |
+----------------------------+----------------------+---------+----------+

+--------------+-------------------+
| SHORT_NAME   | ADDRESS_TYPE_NAME |
+--------------+-------------------+
| Kowalski     | Inne              |
| Kowalski     | Praca             |
| Kowalski     | Domowy            |
| Kowalski     | Magazyn           |
| Kowalski     | Oddzial           |
| Kowalski     | Fakturowania      |
| Kowalski     | Dostawy           |
| Kowalski     | Siedziba firmy    |
| Kowalski     | Korespondencyjny  |
| Kowalski     | Zamieszkania      |
| Kowalski     | Inne              |
| Kowalski     | Praca             |
| Kowalski     | Domowy            |
| Kowalski     | Magazyn           |
| Kowalski     | Oddzial           |
| Kowalski     | Fakturowania      |
| Kowalski     | Dostawy           |
| Kowalski     | Siedziba firmy    |
| Kowalski     | Korespondencyjny  |
| Kowalski     | Zamieszkania      |
| Nowak        | Inne              |
| Nowak        | Praca             |
| Nowak        | Domowy            |
| Nowak        | Magazyn           |
| Nowak        | Oddzial           |
| Nowak        | Fakturowania      |
| Nowak        | Dostawy           |
| Nowak        | Siedziba firmy    |
| Nowak        | Korespondencyjny  |
| Nowak        | Zamieszkania      |
| TechSol      | Inne              |
| TechSol      | Praca             |
| TechSol      | Domowy            |
| TechSol      | Magazyn           |
| TechSol      | Oddzial           |
| TechSol      | Fakturowania      |
| TechSol      | Dostawy           |
| TechSol      | Siedziba firmy    |
| TechSol      | Korespondencyjny  |
| TechSol      | Zamieszkania      |
| FoodMarket   | Inne              |
| FoodMarket   | Praca             |
| FoodMarket   | Domowy            |
| FoodMarket   | Magazyn           |
| FoodMarket   | Oddzial           |
| FoodMarket   | Fakturowania      |
| FoodMarket   | Dostawy           |
| FoodMarket   | Siedziba firmy    |
| FoodMarket   | Korespondencyjny  |
| FoodMarket   | Zamieszkania      |
| Wisniewski   | Inne              |
| Wisniewski   | Praca             |
| Wisniewski   | Domowy            |
| Wisniewski   | Magazyn           |
| Wisniewski   | Oddzial           |
| Wisniewski   | Fakturowania      |
| Wisniewski   | Dostawy           |
| Wisniewski   | Siedziba firmy    |
| Wisniewski   | Korespondencyjny  |
| Wisniewski   | Zamieszkania      |
| AutoMax      | Inne              |
| AutoMax      | Praca             |
| AutoMax      | Domowy            |
| AutoMax      | Magazyn           |
| AutoMax      | Oddzial           |
| AutoMax      | Fakturowania      |
| AutoMax      | Dostawy           |
| AutoMax      | Siedziba firmy    |
| AutoMax      | Korespondencyjny  |
| AutoMax      | Zamieszkania      |
| Kaczmarek    | Inne              |
| Kaczmarek    | Praca             |
| Kaczmarek    | Domowy            |
| Kaczmarek    | Magazyn           |
| Kaczmarek    | Oddzial           |
| Kaczmarek    | Fakturowania      |
| Kaczmarek    | Dostawy           |
| Kaczmarek    | Siedziba firmy    |
| Kaczmarek    | Korespondencyjny  |
| Kaczmarek    | Zamieszkania      |
| Meblex       | Inne              |
| Meblex       | Praca             |
| Meblex       | Domowy            |
| Meblex       | Magazyn           |
| Meblex       | Oddzial           |
| Meblex       | Fakturowania      |
| Meblex       | Dostawy           |
| Meblex       | Siedziba firmy    |
| Meblex       | Korespondencyjny  |
| Meblex       | Zamieszkania      |
| Pawlak       | Inne              |
| Pawlak       | Praca             |
| Pawlak       | Domowy            |
| Pawlak       | Magazyn           |
| Pawlak       | Oddzial           |
| Pawlak       | Fakturowania      |
| Pawlak       | Dostawy           |
| Pawlak       | Siedziba firmy    |
| Pawlak       | Korespondencyjny  |
| Pawlak       | Zamieszkania      |
| EcoTrade     | NULL              |
| Wojcik       | Inne              |
| Wojcik       | Praca             |
| Wojcik       | Domowy            |
| Wojcik       | Magazyn           |
| Wojcik       | Oddzial           |
| Wojcik       | Fakturowania      |
| Wojcik       | Dostawy           |
| Wojcik       | Siedziba firmy    |
| Wojcik       | Korespondencyjny  |
| Wojcik       | Zamieszkania      |
| Dudek        | Inne              |
| Dudek        | Praca             |
| Dudek        | Domowy            |
| Dudek        | Magazyn           |
| Dudek        | Oddzial           |
| Dudek        | Fakturowania      |
| Dudek        | Dostawy           |
| Dudek        | Siedziba firmy    |
| Dudek        | Korespondencyjny  |
| Dudek        | Zamieszkania      |
| FreshFood    | Inne              |
| FreshFood    | Praca             |
| FreshFood    | Domowy            |
| FreshFood    | Magazyn           |
| FreshFood    | Oddzial           |
| FreshFood    | Fakturowania      |
| FreshFood    | Dostawy           |
| FreshFood    | Siedziba firmy    |
| FreshFood    | Korespondencyjny  |
| FreshFood    | Zamieszkania      |
| TechWorld    | Inne              |
| TechWorld    | Praca             |
| TechWorld    | Domowy            |
| TechWorld    | Magazyn           |
| TechWorld    | Oddzial           |
| TechWorld    | Fakturowania      |
| TechWorld    | Dostawy           |
| TechWorld    | Siedziba firmy    |
| TechWorld    | Korespondencyjny  |
| TechWorld    | Zamieszkania      |
| Zajac        | Inne              |
| Zajac        | Praca             |
| Zajac        | Domowy            |
| Zajac        | Magazyn           |
| Zajac        | Oddzial           |
| Zajac        | Fakturowania      |
| Zajac        | Dostawy           |
| Zajac        | Siedziba firmy    |
| Zajac        | Korespondencyjny  |
| Zajac        | Zamieszkania      |
| HomeDecor    | Inne              |
| HomeDecor    | Praca             |
| HomeDecor    | Domowy            |
| HomeDecor    | Magazyn           |
| HomeDecor    | Oddzial           |
| HomeDecor    | Fakturowania      |
| HomeDecor    | Dostawy           |
| HomeDecor    | Siedziba firmy    |
| HomeDecor    | Korespondencyjny  |
| HomeDecor    | Zamieszkania      |
| Baran        | Inne              |
| Baran        | Praca             |
| Baran        | Domowy            |
| Baran        | Magazyn           |
| Baran        | Oddzial           |
| Baran        | Fakturowania      |
| Baran        | Dostawy           |
| Baran        | Siedziba firmy    |
| Baran        | Korespondencyjny  |
| Baran        | Zamieszkania      |
| AutoParts    | Inne              |
| AutoParts    | Praca             |
| AutoParts    | Domowy            |
| AutoParts    | Magazyn           |
| AutoParts    | Oddzial           |
| AutoParts    | Fakturowania      |
| AutoParts    | Dostawy           |
| AutoParts    | Siedziba firmy    |
| AutoParts    | Korespondencyjny  |
| AutoParts    | Zamieszkania      |
| Wilk         | Inne              |
| Wilk         | Praca             |
| Wilk         | Domowy            |
| Wilk         | Magazyn           |
| Wilk         | Oddzial           |
| Wilk         | Fakturowania      |
| Wilk         | Dostawy           |
| Wilk         | Siedziba firmy    |
| Wilk         | Korespondencyjny  |
| Wilk         | Zamieszkania      |
| EcoSol       | Inne              |
| EcoSol       | Praca             |
| EcoSol       | Domowy            |
| EcoSol       | Magazyn           |
| EcoSol       | Oddzial           |
| EcoSol       | Fakturowania      |
| EcoSol       | Dostawy           |
| EcoSol       | Siedziba firmy    |
| EcoSol       | Korespondencyjny  |
| EcoSol       | Zamieszkania      |
| Malecka      | Inne              |
| Malecka      | Praca             |
| Malecka      | Domowy            |
| Malecka      | Magazyn           |
| Malecka      | Oddzial           |
| Malecka      | Fakturowania      |
| Malecka      | Dostawy           |
| Malecka      | Siedziba firmy    |
| Malecka      | Korespondencyjny  |
| Malecka      | Zamieszkania      |
| FurniCo      | Inne              |
| FurniCo      | Praca             |
| FurniCo      | Domowy            |
| FurniCo      | Magazyn           |
| FurniCo      | Oddzial           |
| FurniCo      | Fakturowania      |
| FurniCo      | Dostawy           |
| FurniCo      | Siedziba firmy    |
| FurniCo      | Korespondencyjny  |
| FurniCo      | Zamieszkania      |
| Sikora       | Inne              |
| Sikora       | Praca             |
| Sikora       | Domowy            |
| Sikora       | Magazyn           |
| Sikora       | Oddzial           |
| Sikora       | Fakturowania      |
| Sikora       | Dostawy           |
| Sikora       | Siedziba firmy    |
| Sikora       | Korespondencyjny  |
| Sikora       | Zamieszkania      |
| SportPro     | Inne              |
| SportPro     | Praca             |
| SportPro     | Domowy            |
| SportPro     | Magazyn           |
| SportPro     | Oddzial           |
| SportPro     | Fakturowania      |
| SportPro     | Dostawy           |
| SportPro     | Siedziba firmy    |
| SportPro     | Korespondencyjny  |
| SportPro     | Zamieszkania      |
| Nowakowska   | Inne              |
| Nowakowska   | Praca             |
| Nowakowska   | Domowy            |
| Nowakowska   | Magazyn           |
| Nowakowska   | Oddzial           |
| Nowakowska   | Fakturowania      |
| Nowakowska   | Dostawy           |
| Nowakowska   | Siedziba firmy    |
| Nowakowska   | Korespondencyjny  |
| Nowakowska   | Zamieszkania      |
| GardenPlus   | Inne              |
| GardenPlus   | Praca             |
| GardenPlus   | Domowy            |
| GardenPlus   | Magazyn           |
| GardenPlus   | Oddzial           |
| GardenPlus   | Fakturowania      |
| GardenPlus   | Dostawy           |
| GardenPlus   | Siedziba firmy    |
| GardenPlus   | Korespondencyjny  |
| GardenPlus   | Zamieszkania      |
| Duda         | Inne              |
| Duda         | Praca             |
| Duda         | Domowy            |
| Duda         | Magazyn           |
| Duda         | Oddzial           |
| Duda         | Fakturowania      |
| Duda         | Dostawy           |
| Duda         | Siedziba firmy    |
| Duda         | Korespondencyjny  |
| Duda         | Zamieszkania      |
| OfficeSup    | Inne              |
| OfficeSup    | Praca             |
| OfficeSup    | Domowy            |
| OfficeSup    | Magazyn           |
| OfficeSup    | Oddzial           |
| OfficeSup    | Fakturowania      |
| OfficeSup    | Dostawy           |
| OfficeSup    | Siedziba firmy    |
| OfficeSup    | Korespondencyjny  |
| OfficeSup    | Zamieszkania      |
| Kaminski     | Inne              |
| Kaminski     | Praca             |
| Kaminski     | Domowy            |
| Kaminski     | Magazyn           |
| Kaminski     | Oddzial           |
| Kaminski     | Fakturowania      |
| Kaminski     | Dostawy           |
| Kaminski     | Siedziba firmy    |
| Kaminski     | Korespondencyjny  |
| Kaminski     | Zamieszkania      |
| CleanHome    | Inne              |
| CleanHome    | Praca             |
| CleanHome    | Domowy            |
| CleanHome    | Magazyn           |
| CleanHome    | Oddzial           |
| CleanHome    | Fakturowania      |
| CleanHome    | Dostawy           |
| CleanHome    | Siedziba firmy    |
| CleanHome    | Korespondencyjny  |
| CleanHome    | Zamieszkania      |
| Sadowska     | Inne              |
| Sadowska     | Praca             |
| Sadowska     | Domowy            |
| Sadowska     | Magazyn           |
| Sadowska     | Oddzial           |
| Sadowska     | Fakturowania      |
| Sadowska     | Dostawy           |
| Sadowska     | Siedziba firmy    |
| Sadowska     | Korespondencyjny  |
| Sadowska     | Zamieszkania      |
| MarketSuper  | Inne              |
| MarketSuper  | Praca             |
| MarketSuper  | Domowy            |
| MarketSuper  | Magazyn           |
| MarketSuper  | Oddzial           |
| MarketSuper  | Fakturowania      |
| MarketSuper  | Dostawy           |
| MarketSuper  | Siedziba firmy    |
| MarketSuper  | Korespondencyjny  |
| MarketSuper  | Zamieszkania      |
| Rutkowski    | Inne              |
| Rutkowski    | Praca             |
| Rutkowski    | Domowy            |
| Rutkowski    | Magazyn           |
| Rutkowski    | Oddzial           |
| Rutkowski    | Fakturowania      |
| Rutkowski    | Dostawy           |
| Rutkowski    | Siedziba firmy    |
| Rutkowski    | Korespondencyjny  |
| Rutkowski    | Zamieszkania      |
| DigitalHouse | Inne              |
| DigitalHouse | Praca             |
| DigitalHouse | Domowy            |
| DigitalHouse | Magazyn           |
| DigitalHouse | Oddzial           |
| DigitalHouse | Fakturowania      |
| DigitalHouse | Dostawy           |
| DigitalHouse | Siedziba firmy    |
| DigitalHouse | Korespondencyjny  |
| DigitalHouse | Zamieszkania      |
| Olszewska    | Inne              |
| Olszewska    | Praca             |
| Olszewska    | Domowy            |
| Olszewska    | Magazyn           |
| Olszewska    | Oddzial           |
| Olszewska    | Fakturowania      |
| Olszewska    | Dostawy           |
| Olszewska    | Siedziba firmy    |
| Olszewska    | Korespondencyjny  |
| Olszewska    | Zamieszkania      |
| TechPlanet   | Inne              |
| TechPlanet   | Praca             |
| TechPlanet   | Domowy            |
| TechPlanet   | Magazyn           |
| TechPlanet   | Oddzial           |
| TechPlanet   | Fakturowania      |
| TechPlanet   | Dostawy           |
| TechPlanet   | Siedziba firmy    |
| TechPlanet   | Korespondencyjny  |
| TechPlanet   | Zamieszkania      |
| Domanski     | Inne              |
| Domanski     | Praca             |
| Domanski     | Domowy            |
| Domanski     | Magazyn           |
| Domanski     | Oddzial           |
| Domanski     | Fakturowania      |
| Domanski     | Dostawy           |
| Domanski     | Siedziba firmy    |
| Domanski     | Korespondencyjny  |
| Domanski     | Zamieszkania      |
| BestJobs     | Inne              |
| BestJobs     | Praca             |
| BestJobs     | Domowy            |
| BestJobs     | Magazyn           |
| BestJobs     | Oddzial           |
| BestJobs     | Fakturowania      |
| BestJobs     | Dostawy           |
| BestJobs     | Siedziba firmy    |
| BestJobs     | Korespondencyjny  |
| BestJobs     | Zamieszkania      |
| Krysztofiak  | Inne              |
| Krysztofiak  | Praca             |
| Krysztofiak  | Domowy            |
| Krysztofiak  | Magazyn           |
| Krysztofiak  | Oddzial           |
| Krysztofiak  | Fakturowania      |
| Krysztofiak  | Dostawy           |
| Krysztofiak  | Siedziba firmy    |
| Krysztofiak  | Korespondencyjny  |
| Krysztofiak  | Zamieszkania      |
| EcoDrive     | Inne              |
| EcoDrive     | Praca             |
| EcoDrive     | Domowy            |
| EcoDrive     | Magazyn           |
| EcoDrive     | Oddzial           |
| EcoDrive     | Fakturowania      |
| EcoDrive     | Dostawy           |
| EcoDrive     | Siedziba firmy    |
| EcoDrive     | Korespondencyjny  |
| EcoDrive     | Zamieszkania      |
| Chrzanowski  | Inne              |
| Chrzanowski  | Praca             |
| Chrzanowski  | Domowy            |
| Chrzanowski  | Magazyn           |
| Chrzanowski  | Oddzial           |
| Chrzanowski  | Fakturowania      |
| Chrzanowski  | Dostawy           |
| Chrzanowski  | Siedziba firmy    |
| Chrzanowski  | Korespondencyjny  |
| Chrzanowski  | Zamieszkania      |
| FoodWay      | Inne              |
| FoodWay      | Praca             |
| FoodWay      | Domowy            |
| FoodWay      | Magazyn           |
| FoodWay      | Oddzial           |
| FoodWay      | Fakturowania      |
| FoodWay      | Dostawy           |
| FoodWay      | Siedziba firmy    |
| FoodWay      | Korespondencyjny  |
| FoodWay      | Zamieszkania      |
| Gorska       | Inne              |
| Gorska       | Praca             |
| Gorska       | Domowy            |
| Gorska       | Magazyn           |
| Gorska       | Oddzial           |
| Gorska       | Fakturowania      |
| Gorska       | Dostawy           |
| Gorska       | Siedziba firmy    |
| Gorska       | Korespondencyjny  |
| Gorska       | Zamieszkania      |
| GardenPro    | Inne              |
| GardenPro    | Praca             |
| GardenPro    | Domowy            |
| GardenPro    | Magazyn           |
| GardenPro    | Oddzial           |
| GardenPro    | Fakturowania      |
| GardenPro    | Dostawy           |
| GardenPro    | Siedziba firmy    |
| GardenPro    | Korespondencyjny  |
| GardenPro    | Zamieszkania      |
| Kaczmarek    | Inne              |
| Kaczmarek    | Praca             |
| Kaczmarek    | Domowy            |
| Kaczmarek    | Magazyn           |
| Kaczmarek    | Oddzial           |
| Kaczmarek    | Fakturowania      |
| Kaczmarek    | Dostawy           |
| Kaczmarek    | Siedziba firmy    |
| Kaczmarek    | Korespondencyjny  |
| Kaczmarek    | Zamieszkania      |
| PaperGroup   | Inne              |
| PaperGroup   | Praca             |
| PaperGroup   | Domowy            |
| PaperGroup   | Magazyn           |
| PaperGroup   | Oddzial           |
| PaperGroup   | Fakturowania      |
| PaperGroup   | Dostawy           |
| PaperGroup   | Siedziba firmy    |
| PaperGroup   | Korespondencyjny  |
| PaperGroup   | Zamieszkania      |
| Czarnecka    | Inne              |
| Czarnecka    | Praca             |
| Czarnecka    | Domowy            |
| Czarnecka    | Magazyn           |
| Czarnecka    | Oddzial           |
| Czarnecka    | Fakturowania      |
| Czarnecka    | Dostawy           |
| Czarnecka    | Siedziba firmy    |
| Czarnecka    | Korespondencyjny  |
| Czarnecka    | Zamieszkania      |
| Fitmarket    | Inne              |
| Fitmarket    | Praca             |
| Fitmarket    | Domowy            |
| Fitmarket    | Magazyn           |
| Fitmarket    | Oddzial           |
| Fitmarket    | Fakturowania      |
| Fitmarket    | Dostawy           |
| Fitmarket    | Siedziba firmy    |
| Fitmarket    | Korespondencyjny  |
| Fitmarket    | Zamieszkania      |
| Wojcik       | Inne              |
| Wojcik       | Praca             |
| Wojcik       | Domowy            |
| Wojcik       | Magazyn           |
| Wojcik       | Oddzial           |
| Wojcik       | Fakturowania      |
| Wojcik       | Dostawy           |
| Wojcik       | Siedziba firmy    |
