+----------+------------+--------------+--------------+-------------+-----------+
| ORDER_ID | ORDER_DATE | ORDER_NUMBER | ORDER_STATUS | EMPLOYEE_ID | CLIENT_ID |
+----------+------------+--------------+--------------+-------------+-----------+
|        1 | 2025-01-01 | ORD0001      |            1 |           1 |         1 |
|        2 | 2025-01-05 | ORD0002      |            2 |           2 |         2 |
|        3 | 2025-02-10 | ORD0003      |            3 |           3 |         3 |
|        4 | 2025-03-11 | ORD0004      |            1 |           4 |         4 |
|        5 | 2025-04-18 | ORD0005      |            2 |           5 |        11 |
|        6 | 2025-05-15 | ORD0006      |            3 |           6 |         6 |
|        7 | 2025-06-02 | ORD0007      |            4 |           7 |         7 |
|        8 | 2025-07-09 | ORD0008      |            5 |           8 |         8 |
|        9 | 2025-08-03 | ORD0009      |            6 |           9 |         9 |
|       10 | 2025-09-10 | ORD0010      |            7 |          10 |        12 |
|       11 | 2025-01-11 | ORD0011      |            1 |          11 |         1 |
|       12 | 2025-01-12 | ORD0012      |            2 |          12 |         2 |
|       13 | 2025-01-13 | ORD0013      |            3 |          13 |         3 |
|       14 | 2025-01-14 | ORD0014      |            1 |          14 |         4 |
|       15 | 2025-01-15 | ORD0015      |            2 |          15 |        13 |
|       16 | 2025-01-16 | ORD0016      |            3 |          16 |         6 |
|       17 | 2025-01-17 | ORD0017      |            4 |          17 |         7 |
|       18 | 2025-01-18 | ORD0018      |            5 |          18 |         8 |
|       19 | 2025-01-19 | ORD0019      |            6 |          19 |         9 |
|       20 | 2025-01-20 | ORD0020      |            7 |          20 |        14 |
|       21 | 2025-01-21 | ORD0021      |            1 |          21 |        13 |
|       22 | 2025-01-22 | ORD0022      |            2 |          22 |         2 |
|       23 | 2025-01-23 | ORD0023      |            3 |          23 |         3 |
|       24 | 2025-01-24 | ORD0024      |            1 |          24 |         4 |
|       25 | 2025-01-25 | ORD0025      |            2 |          25 |        15 |
|       26 | 2025-01-26 | ORD0026      |            3 |          26 |         6 |
|       27 | 2025-01-27 | ORD0027      |            4 |          27 |         7 |
|       28 | 2025-01-28 | ORD0028      |            5 |          28 |        13 |
|       29 | 2025-01-29 | ORD0029      |            6 |          29 |         9 |
|       30 | 2025-01-30 | ORD0030      |            7 |          30 |        16 |
|       31 | 2025-02-01 | ORD0031      |            1 |          11 |         1 |
|       32 | 2025-02-02 | ORD0032      |            2 |          12 |         2 |
|       33 | 2025-02-03 | ORD0033      |            3 |          13 |         3 |
|       34 | 2025-02-04 | ORD0034      |            1 |          14 |         4 |
|       35 | 2025-02-05 | ORD0035      |            2 |          15 |        17 |
|       36 | 2025-02-06 | ORD0036      |            3 |          16 |         6 |
|       37 | 2025-02-07 | ORD0037      |            4 |          17 |         7 |
|       38 | 2025-02-08 | ORD0038      |            5 |          18 |         8 |
|       39 | 2025-02-09 | ORD0039      |            6 |          19 |         9 |
|       40 | 2025-02-10 | ORD0040      |            7 |          20 |        18 |
|       41 | 2025-02-11 | ORD0041      |            1 |          21 |        30 |
|       42 | 2025-02-12 | ORD0042      |            2 |          22 |         2 |
|       43 | 2025-02-13 | ORD0043      |            3 |          23 |         3 |
|       44 | 2025-02-14 | ORD0044      |            1 |          24 |         4 |
|       45 | 2025-02-15 | ORD0045      |            2 |          25 |        19 |
|       46 | 2025-02-16 | ORD0046      |            3 |          26 |        21 |
|       47 | 2025-02-17 | ORD0047      |            4 |          27 |         7 |
|       48 | 2025-02-18 | ORD0048      |            5 |          28 |         8 |
|       49 | 2025-02-19 | ORD0049      |            6 |          29 |         9 |
|       50 | 2025-02-20 | ORD0050      |            7 |          30 |        20 |
|       51 | 2025-02-21 | ORD0051      |            1 |          11 |        28 |
|       52 | 2025-02-22 | ORD0052      |            2 |          12 |         2 |
|       53 | 2025-02-23 | ORD0053      |            3 |          13 |         3 |
|       54 | 2025-02-24 | ORD0054      |            1 |          14 |         4 |
|       55 | 2025-02-25 | ORD0055      |            2 |          15 |        21 |
|       56 | 2025-02-26 | ORD0056      |            3 |          16 |         6 |
|       57 | 2025-02-27 | ORD0057      |            4 |          17 |         7 |
|       58 | 2025-02-28 | ORD0058      |            5 |          18 |         8 |
|       59 | 2025-03-01 | ORD0059      |            6 |          19 |         9 |
|       60 | 2025-03-02 | ORD0060      |            7 |          20 |        22 |
|       61 | 2025-03-03 | ORD0061      |            1 |          21 |         1 |
|       62 | 2025-03-04 | ORD0062      |            2 |          22 |         2 |
|       63 | 2025-03-05 | ORD0063      |            3 |          23 |         3 |
|       64 | 2025-03-06 | ORD0064      |            1 |          24 |         4 |
|       65 | 2025-03-07 | ORD0065      |            2 |          25 |        23 |
|       66 | 2025-03-08 | ORD0066      |            3 |          26 |         6 |
|       67 | 2025-03-09 | ORD0067      |            4 |          27 |         7 |
|       68 | 2025-03-10 | ORD0068      |            5 |          28 |         8 |
|       69 | 2025-03-11 | ORD0069      |            6 |          29 |         9 |
